,time,position
0,0.0,10.0
1,0.1001001001001001,9.950901852803755
2,0.2002002002002002,9.803607411215019
3,0.3003003003003003,9.558116675233792
4,0.4004004004004004,9.214429644860076
5,0.5005005005005005,8.772546320093868
6,0.6006006006006006,8.23246670093517
7,0.7007007007007008,7.59419078738398
8,0.8008008008008008,6.8577185794403
9,0.9009009009009009,6.023050077104131
10,1.001001001001001,5.0901852803754695
11,1.1011011011011012,4.059124189254319
12,1.2012012012012012,2.929866803740677
13,1.3013013013013013,1.7024131238345444
14,1.4014014014014016,0.37676314953592005
15,1.5015015015015016,-1.047083119155193
16,1.6016016016016017,-2.5691256822387984
17,1.7017017017017018,-4.189364539714893
18,1.8018018018018018,-5.907799691583477
19,1.9019019019019021,-7.724431137844558
20,2.002002002002002,-9.639258878498122
21,2.1021021021021022,-11.652282913544177
22,2.2022022022022023,-13.763503242982726
23,2.3023023023023024,-15.972919866813765
24,2.4024024024024024,-18.28053278503729
25,2.5025025025025025,-20.686341997653308
26,2.6026026026026026,-23.190347504661823
27,2.702702702702703,-25.79254930606283
28,2.802802802802803,-28.49294740185632
29,2.902902902902903,-31.291541792042302
30,3.0030030030030033,-34.18833247662077
31,3.1031031031031033,-37.183319455591736
32,3.2032032032032034,-40.276502728955194
33,3.3033033033033035,-43.46788229671113
34,3.4034034034034035,-46.75745815885957
35,3.5035035035035036,-50.1452303154005
36,3.6036036036036037,-53.63119876633391
37,3.7037037037037037,-57.21536351165982
38,3.8038038038038042,-60.89772455137823
39,3.9039039039039043,-64.67828188548911
40,4.004004004004004,-68.55703551399249
41,4.104104104104104,-72.53398543688836
42,4.2042042042042045,-76.60913165417671
43,4.3043043043043046,-80.78247416585756
44,4.404404404404405,-85.0540129719309
45,4.504504504504505,-89.42374807239673
46,4.604604604604605,-93.89167946725506
47,4.704704704704705,-98.45780715650587
48,4.804804804804805,-103.12213114014916
49,4.904904904904905,-107.88465141818496
50,5.005005005005005,-112.74536799061323
51,5.105105105105105,-117.70428085743401
52,5.205205205205205,-122.76139001864729
53,5.305305305305305,-127.91669547425303
54,5.405405405405406,-133.17019722425132
55,5.505505505505506,-138.52189526864206
56,5.605605605605606,-143.97178960742528
57,5.705705705705706,-149.519880240601
58,5.805805805805806,-155.1661671681692
59,5.9059059059059065,-160.91065039012992
60,6.0060060060060065,-166.7533299064831
61,6.106106106106107,-172.69420571722878
62,6.206206206206207,-178.73327782236694
63,6.306306306306307,-184.8705462218976
64,6.406406406406407,-191.10601091582078
65,6.506506506506507,-197.43967190413642
66,6.606606606606607,-203.87152918684453
67,6.706706706706707,-210.40158276394519
68,6.806806806806807,-217.02983263543828
69,6.906906906906907,-223.7562788013239
70,7.007007007007007,-230.580921261602
71,7.107107107107107,-237.50376001627257
72,7.207207207207207,-244.52479506533564
73,7.307307307307307,-251.6440264087912
74,7.407407407407407,-258.86145404663927
75,7.507507507507508,-266.1770779788799
76,7.6076076076076085,-273.59089820551293
77,7.7077077077077085,-281.1029147265384
78,7.807807807807809,-288.71312754195645
79,7.907907907907909,-296.4215366517669
80,8.008008008008009,-304.22814205596995
81,8.108108108108109,-312.1329437545655
82,8.208208208208209,-320.13594174755343
83,8.308308308308309,-328.2371360349339
84,8.408408408408409,-336.43652661670683
85,8.508508508508509,-344.7341134928723
86,8.608608608608609,-353.12989666343026
87,8.70870870870871,-361.6238761283807
88,8.80880880880881,-370.2160518877236
89,8.90890890890891,-378.906423941459
90,9.00900900900901,-387.69499228958693
91,9.10910910910911,-396.58175693210734
